record_date,security_type_desc_df2,security_desc,avg_interest_rate_amt,record_fiscal_year_df2,record_fiscal_quarter_df2,record_calendar_year_df2,record_calendar_quarter_df2,record_calendar_month_df2,record_calendar_day_df2,debt_held_public_mil_amt,intragov_hold_mil_amt,total_mil_amt
2001-01-31,Marketable,Treasury Notes,6.096,2001,2,2001,1,1,31,1555056.155,2.0,1555058.155
2001-01-31,Marketable,Treasury Bonds,8.45,2001,2,2001,1,1,31,623370.158,459.321,623829.479
2001-01-31,Marketable,Federal Financing Bank,8.917,2001,2,2001,1,1,31,0.0,14999.99,14999.99
2001-01-31,Non-marketable,Domestic Series,7.934,2001,2,2001,1,1,31,29995.778,0.0,29995.778
2001-01-31,Non-marketable,Foreign Series,7.196,2001,2,2001,1,1,31,24936.228,0.0,24936.228
2001-01-31,Non-marketable,State and Local Government Series,5.576,2001,2,2001,1,1,31,147897.854,0.0,147897.854
2001-01-31,Non-marketable,United States Savings Securities,6.224,2001,2,2001,1,1,31,184596.41,0.0,184596.41
2001-01-31,Non-marketable,Government Account Series,6.65,2001,2,2001,1,1,31,35648.802,2312593.502,2348243.304
2001-01-31,Marketable,Treasury Bills,6.059,2001,2,2001,1,1,31,656148.477,0.0,656148.477
2001-02-28,Marketable,Treasury Bills,5.755,2001,2,2001,1,2,28,680658.697,0.0,680658.697
2001-02-28,Marketable,Treasury Notes,6.076,2001,2,2001,1,2,28,1534890.031,1.0,1534891.031
2001-02-28,Marketable,Treasury Bonds,8.389,2001,2,2001,1,2,28,631024.385,459.321,631482.706
2001-02-28,Marketable,Federal Financing Bank,8.917,2001,2,2001,1,2,28,0.0,14999.99,14999.99
2001-02-28,Non-marketable,Domestic Series,7.934,2001,2,2001,1,2,28,29995.778,0.0,29995.778
2001-02-28,Non-marketable,Foreign Series,7.165,2001,2,2001,1,2,28,24936.228,0.0,24936.228
2001-02-28,Non-marketable,State and Local Government Series,5.531,2001,2,2001,1,2,28,149903.954,0.0,149903.954
2001-02-28,Non-marketable,United States Savings Securities,6.217,2001,2,2001,1,2,28,184692.62,0.0,184692.62
2001-02-28,Non-marketable,Government Account Series,6.572,2001,2,2001,1,2,28,36337.788,2317661.025,2353999.813
2001-03-31,Marketable,Treasury Bills,5.369,2001,2,2001,1,3,31,712032.108,0.0,712032.108
2001-03-31,Marketable,Treasury Notes,6.088,2001,2,2001,1,3,31,1534867.53,1.0,1534868.53
2001-03-31,Marketable,Treasury Bonds,8.392,2001,2,2001,1,3,31,627509.778,459.321,627969.099
2001-03-31,Marketable,Federal Financing Bank,8.917,2001,2,2001,1,3,31,0.0,14999.99,14999.99
2001-03-31,Non-marketable,Domestic Series,7.934,2001,2,2001,1,3,31,29995.778,0.0,29995.778
2001-03-31,Non-marketable,Foreign Series,7.197,2001,2,2001,1,3,31,24736.228,0.0,24736.228
2001-03-31,Non-marketable,State and Local Government Series,5.503,2001,2,2001,1,3,31,152887.23,0.0,152887.23
2001-03-31,Non-marketable,United States Savings Securities,6.264,2001,2,2001,1,3,31,184814.768,0.0,184814.768
2001-03-31,Non-marketable,Government Account Series,6.588,2001,2,2001,1,3,31,37047.177,2323250.613,2360297.79
2001-04-30,Marketable,Treasury Bills,5.076,2001,3,2001,2,4,30,619071.523,40.1,619111.623
2001-04-30,Marketable,Treasury Notes,6.066,2001,3,2001,2,4,30,1492282.394,1.0,1492283.394
2001-04-30,Marketable,Treasury Bonds,8.382,2001,3,2001,2,4,30,622497.752,459.321,622957.073
2001-04-30,Marketable,Federal Financing Bank,8.917,2001,3,2001,2,4,30,0.0,14999.99,14999.99
2001-04-30,Non-marketable,Domestic Series,7.934,2001,3,2001,2,4,30,29995.18,0.0,29995.18
2001-04-30,Non-marketable,Foreign Series,7.235,2001,3,2001,2,4,30,24536.228,0.0,24536.228
2001-04-30,Non-marketable,State and Local Government Series,5.45,2001,3,2001,2,4,30,154746.358,0.0,154746.358
2001-04-30,Non-marketable,United States Savings Securities,6.261,2001,3,2001,2,4,30,185197.953,0.0,185197.953
2001-04-30,Non-marketable,Government Account Series,6.538,2001,3,2001,2,4,30,37758.878,2347868.117,2385626.995
